@relation 'data0910-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Remove-R18'

@attribute games numeric
@attribute starts numeric
@attribute min numeric
@attribute fgm numeric
@attribute fgp numeric
@attribute 3pm numeric
@attribute 3pp numeric
@attribute ftm numeric
@attribute ftp numeric
@attribute off numeric
@attribute def numeric
@attribute ast numeric
@attribute stl numeric
@attribute to numeric
@attribute blk numeric
@attribute pf numeric
@attribute dq numeric
@attribute tf numeric
@attribute PS {SG,C,PF,PG,SF,NA}

@data
82,70,26.87,3.79,0.5,0,0,1.38,0.65,2.76,4.7,0.85,0.61,1.38,1.24,3.44,0.11,0.04,SF
32,1,7.56,0.88,0.47,0,0,0.41,0.57,0.5,1.09,0.41,0.28,0.53,0.06,0.91,0,0,SF
2,0,2.5,0.5,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,SF
75,21,28.67,5.31,0.44,1.76,0.38,4.12,0.87,0.91,2.88,4.93,1.36,2.05,0.32,2.05,0,0.03,SG
76,64,29.07,4.3,0.45,0.97,0.37,1.37,0.83,1,3.58,1.63,0.8,1.26,0.21,2.04,0,0,SF
70,33,25.07,4.11,0.48,0.01,0.13,2.66,0.86,2.96,4.79,0.67,0.59,1.54,0.83,2.77,0.06,0.01,C
62,17,27.84,4.69,0.42,1.21,0.32,3.19,0.86,0.42,1.5,2.68,0.79,1.9,0.1,2.37,0.02,0.06,SG
62,60,35.98,5.68,0.45,1.92,0.37,3.58,0.74,0.4,2.18,3,1.13,2.32,0.23,1.55,0,0,SG
81,0,13.46,1.49,0.53,0,0,0.63,0.68,1.28,2.93,0.21,0.21,0.57,0.86,1.7,0.01,0,C
62,18,12.32,1.69,0.52,0.03,0.15,0.87,0.74,0.63,1.35,0.35,0.37,0.69,0.11,1.68,0,0,SG
69,8,11.68,1.72,0.5,0.23,0.32,0.61,0.65,0.35,1.61,0.33,0.29,0.54,0.14,1.36,0,0.01,SF
62,62,36.73,7.87,0.43,2.55,0.36,5.85,0.85,1.08,4.44,2.76,1.52,2.53,0.82,2.95,0.05,0.06,SF
32,0,9.59,1.31,0.51,0,0,0.63,0.71,1.41,1.91,0.69,0.28,0.56,0.34,1.69,0,0,C
20,0,5.8,0.75,0.38,0.3,0.27,0.2,0.67,0.4,0.45,0.25,0.3,0.25,0.15,0.45,0,0,SG
82,82,37.05,5.91,0.45,1.27,0.33,2.01,0.74,1.37,4.61,1.63,1.27,1.65,0.88,2.7,0.04,0.01,SF
73,18,21.27,3.4,0.46,0.64,0.35,1.3,0.83,0.27,1.49,2.07,0.44,0.92,0.15,1.85,0,0,SG
76,50,21.42,3.21,0.44,0.91,0.38,1.18,0.64,0.7,2.38,0.93,0.53,1.22,0.71,1.97,0.03,0.03,SF
8,0,4.13,0.5,0.4,0,0,0.25,0.5,0,0.25,0.13,0,0.13,0.25,0.5,0,0,SF
36,0,6.78,0.67,0.39,0,0,0.39,0.74,0.72,1.36,0.28,0.03,0.56,0.39,1.58,0,0,C
47,0,6.74,0.85,0.53,0.04,0.18,0.36,0.57,0.28,0.77,0.34,0.09,0.23,0.19,0.62,0,0,SG
10,0,4.2,1,0.48,0.3,0.6,0.2,0.4,0.4,0.6,0,0,0.3,0.2,0.5,0,0,PF
46,46,33.72,6.37,0.41,0.89,0.3,4.43,0.85,0.65,2,4.39,0.65,2.52,0.07,2.5,0,0.22,SG
29,1,17.59,2.79,0.36,0,0,2.9,0.74,2.07,2.69,0.97,0.59,0.72,0.28,2.41,0,0.03,PF
76,0,22.84,3.07,0.4,1.22,0.38,2.55,0.81,0.62,2.59,1.82,1.05,1.39,0.26,2.63,0.01,0,SG
72,15,30.44,6.22,0.43,1.94,0.34,3.33,0.76,1.22,4.4,1.53,0.86,1.83,0.35,2.9,0.01,0.04,PF
64,61,34.67,5.56,0.4,0.94,0.28,4.81,0.8,0.38,2.8,6.61,1.22,2.83,0.28,2.78,0,0.03,PG
13,0,7.23,0.85,0.37,0,0,0.54,0.64,0.77,1.08,0.23,0.38,0.69,0.08,1.08,0,0,SF
5,0,4.6,0.2,0.5,0,0,0,0,0,0.4,1.2,0.4,0.6,0.2,0.8,0,0,PG
78,0,27.99,4,0.49,0,0,1.88,0.76,2.14,5.92,0.67,0.38,0.96,0.29,2.23,0,0,PF
52,31,21.33,1.73,0.41,0,0,1,0.75,1.06,1.85,0.96,0.33,0.9,0.17,1.75,0,0,SF
72,59,26.39,4.33,0.47,0.36,0.3,1.01,0.69,2.01,4.04,2.19,0.46,1.82,1.14,2.78,0.01,0.06,C
82,82,21.66,1.96,0.49,0,0,0.44,0.55,1.84,3.83,1.7,0.89,0.9,0.52,2.67,0.04,0,C
